,country,region,population,article_title,revision_id,article_quality
0,Afghanistan,SOUTH ASIA,41.1,Mohammad Asim Asim,1013838830,Stub
1,Afghanistan,SOUTH ASIA,41.1,Aimal Faizi,1033383351,Stub
2,Afghanistan,SOUTH ASIA,41.1,Mohammad Sarwar Ahmedzai,1038918070,Start
3,Afghanistan,SOUTH ASIA,41.1,Sharif Ghalib,1041460606,B
4,Afghanistan,SOUTH ASIA,41.1,Bashir Ahmad Bezan,1060707209,Start
5,Afghanistan,SOUTH ASIA,41.1,Amir Muhammad Akhundzada,1069322182,Start
6,Afghanistan,SOUTH ASIA,41.1,Anarkali Kaur Honaryar,1069574154,Start
7,Afghanistan,SOUTH ASIA,41.1,Abdul Samad Ghaus,1072271854,Stub
8,Afghanistan,SOUTH ASIA,41.1,Abdul Ghani Ghani,1072441893,Stub
9,Afghanistan,SOUTH ASIA,41.1,Mirza Muhammad Ismail,1073524466,C
10,Afghanistan,SOUTH ASIA,41.1,Muqadasa Ahmadzai,1082489593,Start
11,Afghanistan,SOUTH ASIA,41.1,Aziza Ahmadyar,1087211008,Start
12,Afghanistan,SOUTH ASIA,41.1,Cheragh Ali Cheragh,1087211968,Start
13,Afghanistan,SOUTH ASIA,41.1,Mahboba Hoqomal,1092518990,Stub
14,Afghanistan,SOUTH ASIA,41.1,Mohammad Gul (Helmand Council),1092523687,Stub
15,Afghanistan,SOUTH ASIA,41.1,Musa Hotak,1094201417,Start
16,Afghanistan,SOUTH ASIA,41.1,Ghulam Haider Hamidi,1095018556,Start
17,Afghanistan,SOUTH ASIA,41.1,Haroon al-Afghani,1095102390,B
18,Afghanistan,SOUTH ASIA,41.1,Mohammad Nazar Faqiri,1095525798,Stub
19,Afghanistan,SOUTH ASIA,41.1,Nasrullah Baryalai Arsalai,1095526840,Start
20,Afghanistan,SOUTH ASIA,41.1,Mohammad Nasim Faqiri,1098051193,Start
21,Afghanistan,SOUTH ASIA,41.1,Abas Basir,1098419766,C
22,Afghanistan,SOUTH ASIA,41.1,Shahjahan Noori,1099689043,GA
